,name,team,year,PER,WS,WS40,BPM
0,Parker Wentz,abilene-christian,2014,18.5,3.9,.151,-3.8
1,Austin Cooke,abilene-christian,2014,15.2,2.9,.129,-1.0
2,Julian Edmonson,abilene-christian,2014,17.0,1.4,.097,-8.6
3,Jacob Lancaster,abilene-christian,2014,23.0,1.3,.124,-6.8
4,LaDarrien Williams,abilene-christian,2014,16.3,1.2,.098,-2.6
5,Michael Grant,abilene-christian,2014,10.2,0.9,.059,-7.4
6,Harrison Hawkins,abilene-christian,2014,12.8,0.9,.077,-3.7
7,Riley Payne,abilene-christian,2014,7.4,0.8,.056,-10.8
8,Rafael Farley,abilene-christian,2014,9.4,0.7,.064,-6.9
9,James Pegues,abilene-christian,2014,12.4,0.7,.064,-11.3
10,Alexsander Milosavljevic,abilene-christian,2014,10.8,0.2,.050,-8.1
11,Chris Blakeley,abilene-christian,2014,-2.1,-0.3,-.076,-16.0
12,Parker Wentz,abilene-christian,2015,17.1,2.5,.112,-1.7
13,Austin Cooke,abilene-christian,2015,14.9,2.2,.099,-2.1
14,Harrison Hawkins,abilene-christian,2015,16.2,1.2,.063,-4.8
15,LaDarrien Williams,abilene-christian,2015,15.2,1.2,.062,-4.3
16,Jalen Little,abilene-christian,2015,6.8,0.4,.020,-7.5
17,Isaiah Tripp,abilene-christian,2015,12.6,0.4,.079,-7.2
18,Riley Payne,abilene-christian,2015,5.4,0.3,.023,-9.4
19,Duran Porter,abilene-christian,2015,9.7,0.3,.031,-8.4
20,Michael Grant,abilene-christian,2015,9.5,0.2,.035,-9.7
21,K.J. Maura,abilene-christian,2015,10.9,0.2,.050,-5.8
22,Christian Albright,abilene-christian,2015,11.9,0.1,.021,-9.9
23,David Hanson,abilene-christian,2015,3.4,0.0,-.037,-14.6
24,Alexsander Milosavljevic,abilene-christian,2015,4.6,-0.1,-.030,-13.9
25,Drake Green,abilene-christian,2015,4.4,-0.2,-.036,-8.4
26,Jaren Lewis,abilene-christian,2016,22.4,2.7,.158,1.1
27,Jaylen Franklin,abilene-christian,2016,20.6,2.6,.117,-2.1
28,Parker Wentz,abilene-christian,2016,11.8,2.1,.092,-2.7
29,Duran Porter,abilene-christian,2016,17.0,1.7,.107,-3.8
30,Austin Cooke,abilene-christian,2016,13.8,1.6,.110,-3.1
31,Jalen Little,abilene-christian,2016,12.0,1.5,.084,-4.3
32,Jovan Crnic,abilene-christian,2016,10.7,0.7,.042,-6.1
33,Isaiah Tripp,abilene-christian,2016,10.8,0.7,.091,-5.0
34,Hayden Howell,abilene-christian,2016,10.3,0.3,.038,-8.5
35,Hayden Farquhar,abilene-christian,2016,9.2,0.2,.039,-9.0
36,Drake Green,abilene-christian,2016,1.9,-0.2,-.030,-11.7
37,Jaren Lewis,abilene-christian,2017,19.5,2.9,.125,-0.7
38,Jalone Friday,abilene-christian,2017,27.5,2.8,.197,1.7
39,Hayden Farquhar,abilene-christian,2017,19.6,1.5,.142,1.1
40,Jaylen Franklin,abilene-christian,2017,13.5,1.5,.065,-2.9
41,Isaiah Tripp,abilene-christian,2017,9.8,1.3,.078,-5.4
42,Drake Green,abilene-christian,2017,9.5,1.2,.074,-3.2
43,Jovan Crnic,abilene-christian,2017,12.2,0.8,.085,-4.9
44,B.J. Maxwell,abilene-christian,2017,13.9,0.5,.102,-0.9
45,Hayden Howell,abilene-christian,2017,9.0,0.3,.026,-9.1
46,Payten Ricks,abilene-christian,2017,7.9,0.2,.025,-6.2
47,Diamante Langston,abilene-christian,2017,2.4,0.0,-.010,-9.2
48,Jadon Reynolds,abilene-christian,2017,-19.2,-0.1,-.324,-13.7
49,Trey Lenox,abilene-christian,2017,-0.7,-0.2,-.031,-11.3
50,Jaren Lewis,abilene-christian,2018,21.5,4.2,.167,1.3
51,Jaylen Franklin,abilene-christian,2018,16.0,3.0,.116,-1.6
52,Tevin Foster,abilene-christian,2018,14.6,2.9,.114,-1.5
53,Jalone Friday,abilene-christian,2018,20.1,2.4,.133,-3.3
54,Payten Ricks,abilene-christian,2018,10.0,1.2,.082,-4.1
55,Drake Green,abilene-christian,2018,8.0,1.0,.077,-5.4
56,B.J. Maxwell,abilene-christian,2018,15.6,1.0,.131,-1.7
57,Hayden Howell,abilene-christian,2018,11.5,0.7,.083,-6.8
58,Hayden Farquhar,abilene-christian,2018,12.9,0.6,.085,-4.6
59,Isaiah Tripp,abilene-christian,2018,9.1,0.6,.075,-4.3
60,Kolton Kohl,abilene-christian,2018,10.2,0.1,.049,-5.0
61,Trey Lenox,abilene-christian,2018,3.9,0.1,.035,-3.5
62,Paul Hiepler,abilene-christian,2018,35.2,0.0,.206,-1.7
63,Chase Cobb,abilene-christian,2018,-12.1,-0.1,-.247,-29.9
64,Jaren Lewis,abilene-christian,2019,22.2,5.0,.188,1.8
65,Jaylen Franklin,abilene-christian,2019,17.7,4.5,.165,1.0
66,Payten Ricks,abilene-christian,2019,15.5,4.3,.155,0.7
67,B.J. Maxwell,abilene-christian,2019,19.1,3.1,.195,4.0
68,Hayden Farquhar,abilene-christian,2019,21.6,2.4,.201,2.5
69,Jalone Friday,abilene-christian,2019,22.2,2.1,.163,-0.6
70,Joe Pleasant,abilene-christian,2019,14.5,1.6,.127,-6.9
71,Damien Daniels,abilene-christian,2019,9.7,1.2,.093,-4.4
72,Trey Lenox,abilene-christian,2019,6.0,1.1,.083,-3.6
73,Kolton Kohl,abilene-christian,2019,25.0,0.7,.207,-4.3
74,Clay Gayman,abilene-christian,2019,16.3,0.4,.116,-8.4
75,Tobias Cameron,abilene-christian,2019,8.9,0.2,.072,-10.0
76,Chase Cobb,abilene-christian,2019,13.4,0.1,.119,-22.8
77,Paul Hiepler,abilene-christian,2019,8.5,0.1,.102,13.1
78,Payten Ricks,abilene-christian,2020,19.0,4.5,.187,3.4
79,Coryon Mason,abilene-christian,2020,16.8,3.4,.178,0.1
80,Clay Gayman,abilene-christian,2020,25.5,3.0,.229,2.3
81,Kolton Kohl,abilene-christian,2020,24.0,2.9,.208,-0.2
82,Joe Pleasant,abilene-christian,2020,16.3,2.7,.149,-2.0
83,Damien Daniels,abilene-christian,2020,12.4,2.0,.124,-1.3
84,Airion Simmons,abilene-christian,2020,19.0,1.8,.170,0.7
85,Reggie Miller,abilene-christian,2020,7.4,1.0,.070,-3.7
86,Trey Lenox,abilene-christian,2020,6.4,0.9,.081,-3.8
87,Tobias Cameron,abilene-christian,2020,16.8,0.6,.182,-1.1
88,Hayden Howell,abilene-christian,2020,8.2,0.5,.068,-7.5
89,Mahki Morris,abilene-christian,2020,12.1,0.5,.112,-7.7
90,Paul Hiepler,abilene-christian,2020,18.0,0.3,.192,-13.9
91,Reggie Miller,abilene-christian,2021,15.1,3.9,.185,3.9
92,Kolton Kohl,abilene-christian,2021,28.8,3.6,.268,6.5
93,Joe Pleasant,abilene-christian,2021,18.1,3.1,.185,-0.1
94,Coryon Mason,abilene-christian,2021,15.7,3.0,.183,2.0
95,Damien Daniels,abilene-christian,2021,11.1,2.3,.133,1.4
96,Clay Gayman,abilene-christian,2021,20.2,2.2,.209,4.1
97,Airion Simmons,abilene-christian,2021,18.6,2.2,.205,1.8
98,Mahki Morris,abilene-christian,2021,12.7,2.0,.156,0.2
99,Tobias Cameron,abilene-christian,2021,18.9,1.6,.233,6.3
100,Immanuel Allen,abilene-christian,2021,15.9,0.9,.186,4.5
101,Cameron Steele,abilene-christian,2021,18.1,0.7,.216,1.9
102,Logan McLaughlin,abilene-christian,2021,8.5,0.6,.098,-5.0
103,Jameson Richardson,abilene-christian,2021,9.6,0.2,.090,-9.6
104,Paul Hiepler,abilene-christian,2021,6.6,0.1,.080,0.6
105,Payton Brooks,abilene-christian,2021,-5.0,0.0,-.030,-12.6
106,Coryon Mason,abilene-christian,2022,16.3,3.8,.162,0.7
107,Mahki Morris,abilene-christian,2022,17.3,3.8,.169,2.1
108,Airion Simmons,abilene-christian,2022,24.4,3.6,.201,5.4
109,Cameron Steele,abilene-christian,2022,18.4,3.5,.173,2.5
110,Tobias Cameron,abilene-christian,2022,16.5,2.8,.163,0.6
111,Reggie Miller,abilene-christian,2022,11.0,2.7,.104,-0.1
112,Damien Daniels,abilene-christian,2022,13.4,2.4,.121,-0.5
113,Immanuel Allen,abilene-christian,2022,16.0,2.0,.164,0.2
114,Ja'Sean Jackson,abilene-christian,2022,9.1,0.8,.090,-2.4
115,Logan McLaughlin,abilene-christian,2022,17.5,0.6,.187,-5.6
116,Yuot Gai,abilene-christian,2022,13.8,0.4,.094,-6.1
117,Furaha Cadeaux de Dieu,abilene-christian,2022,12.3,0.3,.105,-8.0
118,Stevie Smith,abilene-christian,2022,7.4,0.1,.038,-6.6
119,Marek Olesinski,air-force,2014,14.4,2.2,.097,0.5
120,Max Yon,air-force,2014,13.8,2.1,.082,-1.5
121,Tre' Coggins,air-force,2014,15.4,2.0,.085,1.4
122,Justin Hammonds,air-force,2014,12.9,1.6,.091,-1.1
123,Kamryn Williams,air-force,2014,14.8,1.4,.075,1.9
124,Darrius Parker,air-force,2014,14.7,0.7,.113,-2.4
125,Hayden Graham,air-force,2014,14.5,0.5,.105,1.4
126,Chase Kammerer,air-force,2014,10.4,0.5,.073,-0.8
127,Zach Kocur,air-force,2014,11.8,0.5,.084,-2.4
128,DeLovell Earls,air-force,2014,7.8,0.3,.026,-3.1
129,Nick Jorgensen,air-force,2014,6.1,0.2,.051,-3.5
130,Scott Adler,air-force,2014,15.8,0.1,.115,-3.8
131,Ethan Michael,air-force,2014,16.0,0.1,.084,-3.3
132,Zach Moer,air-force,2014,17.3,0.1,.103,-5.2
133,Austin Flues,air-force,2014,18.4,0.0,.230,-1.7
134,Callum Long,air-force,2014,1.2,-0.1,-.038,-15.8
135,Joe Tuss,air-force,2014,-4.6,-0.2,-.133,-14.7
136,Marek Olesinski,air-force,2015,18.6,3.1,.135,2.9
137,Trevor Lyons,air-force,2015,15.3,2.4,.110,0.1
138,Zach Kocur,air-force,2015,18.2,2.3,.134,2.2
139,Matt Mooney,air-force,2015,17.5,1.5,.107,2.1
140,Max Yon,air-force,2015,16.7,1.5,.085,-1.9
141,Hayden Graham,air-force,2015,14.6,1.4,.080,-2.7
142,Justin Hammonds,air-force,2015,15.5,1.3,.102,-1.7
143,Kamryn Williams,air-force,2015,20.8,1.0,.135,1.4
144,DeLovell Earls,air-force,2015,10.6,0.4,.071,-1.1
145,Zach Moer,air-force,2015,13.2,0.4,.060,-6.7
146,Ryan Manning,air-force,2015,7.8,0.2,.042,-6.2
147,C.J. Siples,air-force,2015,11.0,0.2,.057,-1.6
148,Jacob Van,air-force,2015,18.8,0.1,.118,-0.5
149,Kyle Broekhuis,air-force,2015,7.0,0.0,-.002,-11.3
150,Dezmond James,air-force,2015,2.9,0.0,-.063,-17.0
151,Brendan Leonard,air-force,2015,18.1,0.0,.170,25.9
152,Lake Lutes,air-force,2015,20.2,0.0,.149,-10.8
153,Frank Toohey,air-force,2015,10.1,0.0,.061,-4.1
154,Hayden Graham,air-force,2016,16.2,2.8,.102,0.4
155,C.J. Siples,air-force,2016,14.5,1.9,.106,1.1
156,Zach Kocur,air-force,2016,11.9,1.6,.067,-1.0
157,Trevor Lyons,air-force,2016,14.6,1.5,.084,-0.8
158,Frank Toohey,air-force,2016,17.0,1.3,.138,-1.0
159,Zach Moer,air-force,2016,15.5,1.2,.081,-2.6
160,Jacob Van,air-force,2016,16.0,1.0,.096,0.4
161,Kyle Broekhuis,air-force,2016,7.5,0.5,.044,-4.0
162,Pervis Louder,air-force,2016,11.6,0.3,.066,-2.9
163,Ryan Manning,air-force,2016,11.0,0.1,.052,-3.1
164,Dane Norman,air-force,2016,17.2,0.1,.117,0.1
165,Malik Abbott,air-force,2016,8.2,0.0,.041,-6.0
166,Jason Anderson,air-force,2016,44.2,0.0,.393,-8.8
167,Jace Chacon,air-force,2016,25.7,0.0,.127,-25.1
168,Dylan Clark,air-force,2016,0.0,0.0,.006,-10.4
169,David Cooper,air-force,2016,,0.0,,0.0
170,Danny Hummer,air-force,2016,3.4,0.0,.009,-6.4
171,Dezmond James,air-force,2016,5.1,0.0,-.002,-6.0
172,Brendan Leonard,air-force,2016,3.8,0.0,-.066,-15.0
173,Joe Tuss,air-force,2016,3.5,-0.2,-.024,-7.6
174,Hayden Graham,air-force,2017,18.1,2.6,.110,1.8
175,Frank Toohey,air-force,2017,18.2,2.6,.129,0.0
176,Zach Kocur,air-force,2017,16.0,2.1,.100,1.1
177,Jacob Van,air-force,2017,14.7,2.1,.089,-0.9
178,Trevor Lyons,air-force,2017,13.1,1.6,.074,-1.0
179,Lavelle Scottie,air-force,2017,15.9,1.1,.090,-0.5
180,Ryan Manning,air-force,2017,16.7,1.0,.092,0.0
181,Dane Norman,air-force,2017,13.8,0.5,.088,-4.7
182,C.J. Siples,air-force,2017,8.2,0.3,.024,-2.5
183,Sid Tomes,air-force,2017,10.4,0.3,.062,-2.3
184,LeSean Brown,air-force,2017,13.2,0.1,.080,-4.0
185,Jonathan DeWane,air-force,2017,17.3,0.1,.145,-6.3
186,Brendan Leonard,air-force,2017,41.2,0.1,.294,17.0
187,Caleb Morris,air-force,2017,10.1,0.1,.035,-6.6
188,Keegan Culp,air-force,2017,0.0,0.0,-.027,-23.6
189,Danny Hummer,air-force,2017,0.0,0.0,-.005,-5.8
190,Ryan Swan-Ford,air-force,2017,10.0,0.0,.025,-7.5
191,Pervis Louder,air-force,2017,6.7,-0.1,-.011,-7.5
192,Kyle Broekhuis,air-force,2017,-0.4,-0.2,-.072,-11.7
193,Ryan Swan-Ford,air-force,2018,20.3,2.3,.137,2.2
194,Trevor Lyons,air-force,2018,12.5,1.8,.071,-0.8
195,Lavelle Scottie,air-force,2018,15.7,1.5,.071,-2.1
196,Frank Toohey,air-force,2018,15.3,1.1,.107,-1.7
197,Ryan Manning,air-force,2018,13.8,0.8,.074,-0.6
198,Sid Tomes,air-force,2018,11.0,0.8,.066,-1.8
199,Jacob Van,air-force,2018,11.4,0.8,.064,-4.3
200,Caleb Morris,air-force,2018,15.2,0.7,.099,0.5
201,Keaton Van Soelen,air-force,2018,10.4,0.7,.057,-1.6
202,Jonathan DeWane,air-force,2018,28.1,0.5,.195,3.8
203,C.J. Siples,air-force,2018,10.0,0.5,.044,-2.7
204,Pervis Louder,air-force,2018,10.5,0.3,.039,-6.1
205,Ameka Akaya,air-force,2018,25.8,0.1,.204,11.1
206,LeSean Brown,air-force,2018,9.4,0.1,.050,-6.2
207,Dane Norman,air-force,2018,8.2,0.1,.032,-6.2
208,Kobi Betts,air-force,2018,5.6,0.0,.052,-13.1
209,James Edwards,air-force,2018,38.9,0.0,.207,12.1
210,Bryce Hughes,air-force,2018,48.6,0.0,.312,5.3
211,Charles O'Briant,air-force,2018,47.9,0.0,.242,-7.5
212,Christopher Joyce,air-force,2018,2.1,-0.1,-.052,-12.3
213,Ryan Swan-Ford,air-force,2019,23.1,3.4,.161,3.1
214,Caleb Morris,air-force,2019,11.8,1.5,.085,-1.0
215,Lavelle Scottie,air-force,2019,15.9,1.5,.060,-2.0
216,A.J. Walker,air-force,2019,11.7,1.5,.071,-2.1
217,Christopher Joyce,air-force,2019,13.3,1.4,.084,-1.1
218,Keaton Van Soelen,air-force,2019,10.0,1.2,.068,-0.7
219,Ameka Akaya,air-force,2019,14.7,0.7,.089,-2.3
220,Sid Tomes,air-force,2019,6.8,0.6,.034,-3.4
221,Pervis Louder,air-force,2019,9.6,0.5,.048,-3.2
222,LeSean Brown,air-force,2019,11.2,0.2,.080,-3.5
223,Abe Kinrade,air-force,2019,18.9,0.2,.151,0.5
224,Bryce Hughes,air-force,2019,19.3,0.1,.161,6.0
225,Zach Couper,air-force,2019,6.0,0.0,.037,-5.5
226,James Edwards,air-force,2019,10.6,0.0,.087,-3.5
227,Isaac Monson,air-force,2019,1.6,0.0,-.026,-10.4
228,Charles O'Briant,air-force,2019,8.1,0.0,-.095,-41.4
229,Nick Rene,air-force,2019,-5.3,0.0,-.181,-27.4
230,Ryan Swan-Ford,air-force,2020,22.6,3.3,.157,3.3
231,Caleb Morris,air-force,2020,15.3,1.9,.097,1.0
232,A.J. Walker,air-force,2020,14.6,1.9,.078,-0.6
233,Lavelle Scottie,air-force,2020,17.9,1.8,.072,-0.8
234,Sid Tomes,air-force,2020,12.3,1.6,.080,-0.2
235,Keaton Van Soelen,air-force,2020,12.3,1.0,.084,-1.6
236,Christopher Joyce,air-force,2020,11.3,0.7,.047,-2.0
237,Abe Kinrade,air-force,2020,17.9,0.6,.143,0.1
238,Carter Murphy,air-force,2020,30.4,0.4,.260,8.2
239,Ameka Akaya,air-force,2020,15.8,0.2,.071,-2.0
240,Isaac Monson,air-force,2020,15.8,0.2,.113,-6.6
241,Mason Taylor,air-force,2020,11.0,0.2,.034,-2.7
242,Nikc Jackson,air-force,2020,24.2,0.1,.177,0.9
243,Camden Vander Zwaag,air-force,2020,22.0,0.1,.162,7.2
244,LeSean Brown,air-force,2020,3.2,0.0,-.003,-6.0
245,Solomon Pierre-Louis,air-force,2020,11.5,0.0,.068,-1.3
246,Simon Banks,air-force,2020,,,,
247,CJ Haut,air-force,2020,,,,
248,Nick Rene,air-force,2020,,,,
249,A.J. Walker,air-force,2021,18.3,1.8,.080,-0.4
250,Keaton Van Soelen,air-force,2021,11.7,0.6,.034,-2.3
251,Nikc Jackson,air-force,2021,13.3,0.4,.029,-5.0
252,Christopher Joyce,air-force,2021,12.4,0.4,.019,-4.2
253,Ameka Akaya,air-force,2021,10.6,0.1,.006,-5.6
254,Abe Kinrade,air-force,2021,9.3,0.1,.012,-6.3
255,Glen McClintock,air-force,2021,7.8,0.1,.004,-5.2
256,Joe Octave,air-force,2021,12.7,0.1,.023,-4.8
257,Derek Dickensheidt,air-force,2021,0.0,0.0,-.037,-6.6
258,CJ Haut,air-force,2021,10.4,0.0,.015,-7.1
259,Logan Morrissey,air-force,2021,0.0,0.0,-.036,-9.4
260,Carter Murphy,air-force,2021,7.0,0.0,.003,-6.6
261,Solomon Pierre-Louis,air-force,2021,2.9,0.0,-.074,-8.5
262,Nick Rene,air-force,2021,-10.7,0.0,-.283,-23.6
263,Camden Vander Zwaag,air-force,2021,5.7,-0.1,-.018,-7.5
264,Mason Taylor,air-force,2021,4.9,-0.2,-.047,-7.8
265,Jake Heidbreder,air-force,2022,14.1,2.7,.108,-0.1
266,A.J. Walker,air-force,2022,15.2,2.0,.087,-1.0
267,Nikc Jackson,air-force,2022,12.4,1.0,.068,-2.1
268,Joe Octave,air-force,2022,15.6,0.9,.070,-1.3
269,Ethan Taylor,air-force,2022,10.2,0.9,.035,-2.4
270,Camden Vander Zwaag,air-force,2022,10.7,0.8,.058,-0.9
271,Lucas Moerman,air-force,2022,10.2,0.6,.048,-2.8
272,Carter Murphy,air-force,2022,9.7,0.3,.060,-2.2
273,Jeffrey Mills,air-force,2022,5.9,0.1,.006,-5.6
274,Byron Brown,air-force,2022,16.7,0.0,.095,3.8
275,Ryan Corner,air-force,2022,5.6,0.0,-.021,-4.8
276,Ezra McKenna,air-force,2022,-49.4,0.0,-.874,-61.1
277,Jake Murphy,air-force,2022,31.2,0.0,.299,19.7
278,Kyle Brown,air-force,2022,-9.9,-0.1,-.257,-16.3
279,Abe Kinrade,air-force,2022,-17.5,-0.1,-.285,-24.0
280,Demetrius Treadwell,akron,2014,21.1,3.8,.135,2.1
281,Quincy Diggs,akron,2014,18.1,3.0,.121,3.0
282,Reggie McAdams,akron,2014,16.3,2.2,.160,4.6
283,Jake Kretzer,akron,2014,13.2,2.0,.116,1.7
284,Nick Harney,akron,2014,14.9,1.5,.097,-1.7
285,Adedeji Ibitayo,akron,2014,15.8,1.4,.126,3.0
286,Nyles Evans,akron,2014,8.9,1.3,.073,-1.9
287,Pat Forsythe,akron,2014,13.4,1.3,.089,-2.0
288,Isaiah Johnson,akron,2014,16.0,1.2,.116,0.4
289,Carmelo Betancourt,akron,2014,5.3,0.3,.024,-4.8
290,Kwan Cheatham,akron,2014,6.2,0.1,.028,-4.0
291,Mark Noble,akron,2014,49.8,0.0,.205,28.1
292,Adedeji Ibitayo,akron,2015,23.6,3.4,.205,6.6
293,Pat Forsythe,akron,2015,23.4,3.1,.172,3.4
294,Jake Kretzer,akron,2015,13.9,3.0,.147,2.5
295,Reggie McAdams,akron,2015,19.4,3.0,.184,6.2
296,Noah Robotham,akron,2015,13.8,2.1,.105,0.4
297,Kwan Cheatham,akron,2015,14.0,2.0,.099,1.2
298,Nyles Evans,akron,2015,12.2,1.9,.113,0.2
299,Isaiah Johnson,akron,2015,15.6,1.7,.109,0.7
300,Antino Jackson,akron,2015,10.5,1.0,.067,-2.1
301,B.J. Gladden,akron,2015,9.6,0.3,.049,-4.8
302,Aaron Jackson,akron,2015,7.6,0.3,.050,-5.0
303,Demetrius Treadwell,akron,2015,22.3,0.1,.166,-0.3
304,Ricardo Hill,akron,2015,12.1,0.0,.082,-8.7
305,Mark Noble,akron,2015,-7.1,0.0,-.121,-17.6
306,Malcolm Walters,akron,2015,-4.9,-0.1,-.098,-20.6
307,Isaiah Johnson,akron,2016,27.3,5.0,.224,5.6
308,Reggie McAdams,akron,2016,18.4,4.0,.172,4.9
309,Jake Kretzer,akron,2016,15.8,3.5,.163,3.5
310,Noah Robotham,akron,2016,14.7,3.2,.140,1.8
311,Antino Jackson,akron,2016,15.1,2.9,.119,0.6
312,Kwan Cheatham,akron,2016,13.0,2.1,.107,0.2
313,Josh Williams,akron,2016,12.5,1.6,.102,1.5
314,Pat Forsythe,akron,2016,19.5,1.4,.130,0.1
315,Aaron Jackson,akron,2016,10.5,0.8,.110,-4.4
316,Jimond Ivey,akron,2016,11.4,0.6,.089,-3.3
317,Carlitos Anderson,akron,2016,23.9,0.1,.237,-4.5
318,Peter Agba,akron,2016,-7.8,0.0,-.164,-28.3
319,Mark Noble,akron,2016,-4.7,0.0,-.099,-9.3
320,Daniel Utomi,akron,2016,-6.8,0.0,-.204,-9.9
321,Isaiah Johnson,akron,2017,27.8,5.7,.210,5.7
322,Jimond Ivey,akron,2017,18.9,4.1,.158,3.8
323,Kwan Cheatham,akron,2017,17.8,3.5,.136,2.3
324,Noah Robotham,akron,2017,13.2,2.7,.111,-0.7
325,Antino Jackson,akron,2017,14.1,2.0,.097,-0.8
326,Josh Williams,akron,2017,10.6,1.3,.069,-2.0
327,Aaron Jackson,akron,2017,13.6,1.2,.110,0.8
328,Tavian Dunn-Martin,akron,2017,12.7,0.9,.091,-1.3
329,Emmanuel Olojakpoke,akron,2017,21.9,0.9,.176,-0.8
330,Daniel Utomi,akron,2017,16.9,0.9,.120,1.7
331,Michael Hughes,akron,2017,12.8,0.3,.095,-2.1
332,Carlitos Anderson,akron,2017,4.9,0.0,.013,1.6
333,Craig Eubanks,akron,2017,8.2,0.0,.001,-2.6
334,Mark Noble,akron,2017,35.2,0.0,.203,63.1
335,Marquelle McIntyre,akron,2017,-21.9,-0.1,-.536,-71.6
336,Daniel Utomi,akron,2018,18.9,3.5,.126,2.0
337,Jimond Ivey,akron,2018,16.1,2.6,.097,-0.2
338,Eric Parrish,akron,2018,15.9,2.2,.103,1.2
339,Malcolm Duvivier,akron,2018,11.7,1.1,.042,-4.2
340,Emmanuel Olojakpoke,akron,2018,18.3,0.9,.124,-1.7
341,Torrey Patton,akron,2018,10.5,0.9,.070,-3.2
342,Virshon Cotton,akron,2018,10.5,0.6,.042,-3.8
343,Jaden Sayles,akron,2018,14.8,0.6,.101,0.4
344,Lucas Smith,akron,2018,3.6,0.1,.019,-8.1
345,Craig Eubanks,akron,2018,2.4,0.0,-.029,-4.9
346,Sina Gbadebo,akron,2018,1.7,0.0,-.017,-9.5
347,Mark Kostelac,akron,2018,3.5,0.0,-.002,-8.7
348,Marquelle McIntyre,akron,2018,7.9,0.0,.000,1.9
349,Jimond Ivey,akron,2019,18.8,4.7,.173,5.5
350,Daniel Utomi,akron,2019,14.8,3.6,.131,2.7
351,Loren Jackson,akron,2019,15.4,3.4,.132,1.9
352,Tyler Cheese,akron,2019,14.9,2.7,.114,1.7
353,Channel Banks,akron,2019,11.6,1.9,.115,1.0
354,Deng Riak,akron,2019,9.4,1.6,.089,-1.7
355,Jeremy Roscoe,akron,2019,10.3,0.9,.109,1.7
356,Emmanuel Olojakpoke,akron,2019,8.3,0.7,.084,-3.1
357,Jaden Sayles,akron,2019,9.2,0.7,.104,-2.4
358,Mark Kostelac,akron,2019,18.2,0.2,.195,3.0
359,Jake Fischer,akron,2019,2.1,0.0,-.109,-18.4
360,Marquelle McIntyre,akron,2019,10.7,0.0,.099,8.1
361,LePear Toles,akron,2019,6.7,0.0,.045,-2.2
362,Scott Walter,akron,2019,-0.9,0.0,.004,-10.2
363,Eric Hester,akron,2019,,,,
364,Loren Jackson,akron,2020,25.0,6.4,.241,7.9
365,Tyler Cheese,akron,2020,21.2,4.3,.187,4.5
366,Xeyrius Williams,akron,2020,18.6,4.0,.164,3.2
367,Channel Banks,akron,2020,14.2,3.6,.146,2.7
368,Deng Riak,akron,2020,9.7,1.7,.106,-0.5
369,Camron Reece,akron,2020,14.8,1.6,.135,-2.0
370,Jaden Sayles,akron,2020,21.7,0.7,.207,1.0
371,Greg Tribble,akron,2020,5.3,0.7,.058,-2.8
372,Ali Ali,akron,2020,5.2,0.5,.057,-2.1
373,Enrique Freeman,akron,2020,28.5,0.1,.311,-3.5
374,Mikal Dawson,akron,2020,-1.3,0.0,-.025,-7.9
375,Marquelle McIntyre,akron,2020,8.9,0.0,.094,0.7
376,Jeremy Roscoe,akron,2020,-3.7,0.0,-.061,-17.5
377,Loren Jackson,akron,2021,24.9,4.2,.205,3.8
378,Enrique Freeman,akron,2021,25.7,2.6,.204,4.3
379,Bryan Trimble,akron,2021,14.3,2.0,.122,2.0
380,Ali Ali,akron,2021,11.8,1.3,.092,-0.2
381,Camron Reece,akron,2021,18.7,1.3,.142,0.5
382,Mikal Dawson,akron,2021,15.4,1.1,.139,1.6
383,Maishe Dailey,akron,2021,9.0,0.8,.067,-3.0
384,Michael Wynn,akron,2021,17.5,0.8,.144,1.7
385,Jermaine Marshall,akron,2021,16.9,0.6,.177,-1.3
386,Greg Tribble,akron,2021,8.3,0.5,.052,-4.2
387,Garvin Clarke,akron,2021,12.7,0.3,.083,-2.9
388,Aziz Bandaogo,akron,2021,26.9,0.1,.255,2.1
389,Taylor Currie,akron,2021,25.8,0.1,.231,-2.7
390,Tre Edwards,akron,2021,25.3,0.1,.240,22.1
391,Scott Walter,akron,2021,8.1,0.0,.086,-1.6
392,Enrique Freeman,akron,2022,29.3,6.2,.255,4.9
393,Xavier Castaneda,akron,2022,18.9,4.8,.176,2.6
394,Ali Ali,akron,2022,15.4,3.5,.119,-1.4
395,Mikal Dawson,akron,2022,12.7,2.7,.129,1.1
396,Greg Tribble,akron,2022,13.9,2.7,.126,-1.3
397,Bryan Trimble,akron,2022,11.6,1.7,.105,-1.2
398,Aziz Bandaogo,akron,2022,16.1,1.2,.119,0.0
399,Garvin Clarke,akron,2022,10.2,1.1,.087,-2.4
400,Michael Wynn,akron,2022,12.4,0.7,.121,-0.4
401,K.J. Walton,akron,2022,24.3,0.6,.214,-0.5
402,Sekou Kalle,akron,2022,62.9,0.1,.344,21.4
403,Brandon Ford,akron,2022,,0.0,,0.0
404,Evan Wilson,akron,2022,7.1,0.0,.050,3.9
405,Trevor Releford,alabama,2014,25.2,5.3,.196,10.1
406,Levi Randolph,alabama,2014,13.2,2.1,.087,1.3
407,Retin Obasohan,alabama,2014,14.1,1.8,.081,3.0
408,Rodney Cooper,alabama,2014,10.8,1.6,.069,0.8
409,Shannon Hale,alabama,2014,14.7,1.5,.088,2.4
410,Jimmie Taylor,alabama,2014,12.2,1.3,.094,1.3
